	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           107.6200027466             0.0138652045
           107.6299972534             0.0139626922
           107.6399993896             0.0140496282
           107.6500015259             0.0141365657
           107.6600036621             0.0142126213
           107.6699981689             0.0143103738
           107.6800003052             0.0143973113
           107.6900024414             0.0144731675
           107.6999969482             0.0145711194
           107.7099990845             0.0146580554
           107.7200012207             0.0147449944
           107.7300033569             0.0148205843
           107.7399978638             0.0149188010
           107.7500000000             0.0150057385
           107.7600021362             0.0150811306
           107.7699966431             0.0151795466
           107.7799987793             0.0152664841
           107.7900009155             0.0153534202
           107.8000030518             0.0154285473
           107.8099975586             0.0155272282
           107.8199996948             0.0156141657
           107.8300018311             0.0157011033
           107.8399963379             0.0157759641
           107.8499984741             0.0158749099
           107.8600006104             0.0159618488
           107.8700027466             0.0160365104
           107.8799972534             0.0161356555
           107.8899993896             0.0162225930
           107.9000015259             0.0163095290
           107.9100036621             0.0163839271
           107.9199981689             0.0164833385
           107.9300003052             0.0165702761
           107.9400024414             0.0166444734
           107.9499969482             0.0167440827
           107.9599990845             0.0168310202
           107.9700012207             0.0169179562
           107.9800033569             0.0169918916
           107.9899978638             0.0170917658
           108.0000000000             0.0171787033
           108.0100021362             0.0172524364
           108.0199966431             0.0173525099
           108.0299987793             0.0174394474
           108.0400009155             0.0175263835
           108.0500030518             0.0175998546
           108.0599975586             0.0177001930
           108.0699996948             0.0177871290
           108.0800018311             0.0178740665
           108.0899963379             0.0179472700
           108.0999984741             0.0180478732
           108.1100006104             0.0181348121
           108.1200027466             0.0182078176
           108.1299972534             0.0183086202
           108.1399993896             0.0183955563
           108.1500015259             0.0184824938
           108.1600036621             0.0185552330
           108.1699981689             0.0186563033
           108.1800003052             0.0187432393
           108.1900024414             0.0188157806
           108.1999969482             0.0189170460
           108.2099990845             0.0190039835
           108.2200012207             0.0190909210
           108.2300033569             0.0191631974
           108.2399978638             0.0192647291
           108.2500000000             0.0193516666
           108.2600021362             0.0194237422
           108.2699966431             0.0195254732
           108.2799987793             0.0196124107
           108.2900009155             0.0196993482
           108.3000030518             0.0197711604
           108.3099975586             0.0198731563
           108.3199996948             0.0199600938
           108.3300018311             0.0200470313
           108.3399963379             0.0201185772
           108.3499984741             0.0202208379
           108.3600006104             0.0203077769
           108.3700027466             0.0203791235
           108.3799972534             0.0204815835
           108.3899993896             0.0205685210
           108.4000015259             0.0206554570
           108.4100036621             0.0207265388
           108.4199981689             0.0208292666
           108.4300003052             0.0209162041
           108.4400024414             0.0209870865
           108.4499969482             0.0210900107
           108.4599990845             0.0211769482
           108.4700012207             0.0212638843
           108.4800033569             0.0213345047
           108.4899978638             0.0214376938
           108.5000000000             0.0215049295
           108.5100021362             0.0214378015
           108.5199966431             0.0213837644
           108.5299987793             0.0213133331
           108.5400009155             0.0212429033
           108.5500030518             0.0211563514
           108.5599975586             0.0211020975
           108.5699996948             0.0210316677
           108.5800018311             0.0209612364
           108.5899963379             0.0208748999
           108.5999984741             0.0208204307
           108.6100006104             0.0207499994
           108.6200027466             0.0206638229
           108.6299972534             0.0206091951
           108.6399993896             0.0205387638
           108.6500015259             0.0204683340
           108.6600036621             0.0203823714
           108.6699981689             0.0203275267
           108.6800003052             0.0202570984
           108.6900024414             0.0201712959
           108.6999969482             0.0201162911
           108.7099990845             0.0200458613
           108.7200012207             0.0199754300
           108.7300033569             0.0198898444
           108.7399978638             0.0198346257
           108.7500000000             0.0197641944
           108.7600021362             0.0196787689
           108.7699966431             0.0196233872
           108.7799987793             0.0195529574
           108.7900009155             0.0194825290
           108.8000030518             0.0193973174
           108.8099975586             0.0193417218
