# Formed from prebioticearth_atmosphere_models.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.5179438e+06	1.5091625e+02	3.6366217e+18	7.5774004e-02
1.5222636e+06	1.5091625e+02	3.6004367e+18	7.5020040e-02
1.5265834e+06	1.5091625e+02	3.5646118e+18	7.4273578e-02
1.5309032e+06	1.5091625e+02	3.5291433e+18	7.3534544e-02
1.5352231e+06	1.5091625e+02	3.4940277e+18	7.2802863e-02
1.5395429e+06	1.5091625e+02	3.4592616e+18	7.2078462e-02
1.5438627e+06	1.5091625e+02	3.4248413e+18	7.1361270e-02
1.5481825e+06	1.5091625e+02	3.3907636e+18	7.0651213e-02
1.5525023e+06	1.5091625e+02	3.3570249e+18	6.9948222e-02
1.5568221e+06	1.5091625e+02	3.3236220e+18	6.9252225e-02
1.5611420e+06	1.5091625e+02	3.2905514e+18	6.8563154e-02
1.5654618e+06	1.5091625e+02	3.2578099e+18	6.7880940e-02
1.5697816e+06	1.5091625e+02	3.2253941e+18	6.7205513e-02
1.5741014e+06	1.5091625e+02	3.1933009e+18	6.6536807e-02
1.5784212e+06	1.5091625e+02	3.1615270e+18	6.5874755e-02
1.5827410e+06	1.5091625e+02	3.1300693e+18	6.5219290e-02
1.5870609e+06	1.5091625e+02	3.0989246e+18	6.4570347e-02
1.5913807e+06	1.5091625e+02	3.0680898e+18	6.3927861e-02
1.5957005e+06	1.5091625e+02	3.0375618e+18	6.3291768e-02
1.6000203e+06	1.5091625e+02	3.0073375e+18	6.2662005e-02
1.6043401e+06	1.5091625e+02	2.9774140e+18	6.2038507e-02
1.6086600e+06	1.5091625e+02	2.9477883e+18	6.1421214e-02
1.6129798e+06	1.5091625e+02	2.9184573e+18	6.0810063e-02
1.6172996e+06	1.5091625e+02	2.8894181e+18	6.0204993e-02
1.6216194e+06	1.5091625e+02	2.8606680e+18	5.9605943e-02
1.6259392e+06	1.5091625e+02	2.8322038e+18	5.9012854e-02
1.6302590e+06	1.5091625e+02	2.8040229e+18	5.8425666e-02
1.6345789e+06	1.5091625e+02	2.7761224e+18	5.7844321e-02
1.6388987e+06	1.5091625e+02	2.7484996e+18	5.7268760e-02
1.6432185e+06	1.5091625e+02	2.7211515e+18	5.6698927e-02
1.6475383e+06	1.5091625e+02	2.6940756e+18	5.6134763e-02
1.6518581e+06	1.5091625e+02	2.6672691e+18	5.5576213e-02
1.6561779e+06	1.5091625e+02	2.6407294e+18	5.5023220e-02
1.6604978e+06	1.5091625e+02	2.6144537e+18	5.4475730e-02
1.6648176e+06	1.5091625e+02	2.5884394e+18	5.3933687e-02
1.6691374e+06	1.5091625e+02	2.5626840e+18	5.3397038e-02
1.6734572e+06	1.5091625e+02	2.5371849e+18	5.2865729e-02
1.6777770e+06	1.5091625e+02	2.5119395e+18	5.2339706e-02
1.6820968e+06	1.5091625e+02	2.4869452e+18	5.1818917e-02
1.6864167e+06	1.5091625e+02	2.4621997e+18	5.1303310e-02
1.6907365e+06	1.5091625e+02	2.4377004e+18	5.0792834e-02
1.6950563e+06	1.5091625e+02	2.4134449e+18	5.0287437e-02
1.6993761e+06	1.5091625e+02	2.3894307e+18	4.9787068e-02
1.7036959e+06	1.5091625e+02	2.3656555e+18	4.9291679e-02
1.7080157e+06	1.5091625e+02	2.3421168e+18	4.8801218e-02
1.7123356e+06	1.5091625e+02	2.3188124e+18	4.8315638e-02
1.7166554e+06	1.5091625e+02	2.2957398e+18	4.7834890e-02
1.7209752e+06	1.5091625e+02	2.2728968e+18	4.7358924e-02
1.7252950e+06	1.5091625e+02	2.2502811e+18	4.6887695e-02
1.7296148e+06	1.5091625e+02	2.2278904e+18	4.6421155e-02
1.7339346e+06	1.5091625e+02	2.2057226e+18	4.5959257e-02
1.7382545e+06	1.5091625e+02	2.1837753e+18	4.5501954e-02
1.7425743e+06	1.5091625e+02	2.1620463e+18	4.5049202e-02
1.7468941e+06	1.5091625e+02	2.1405336e+18	4.4600955e-02
1.7512139e+06	1.5091625e+02	2.1192349e+18	4.4157169e-02
1.7555337e+06	1.5091625e+02	2.0981482e+18	4.3717797e-02
1.7598535e+06	1.5091625e+02	2.0772713e+18	4.3282798e-02
1.7641734e+06	1.5091625e+02	2.0566021e+18	4.2852127e-02
1.7684932e+06	1.5091625e+02	2.0361386e+18	4.2425741e-02
1.7728130e+06	1.5091625e+02	2.0158786e+18	4.2003598e-02
1.7771328e+06	1.5091625e+02	1.9958203e+18	4.1585655e-02
1.7814526e+06	1.5091625e+02	1.9759616e+18	4.1171871e-02
1.7857724e+06	1.5091625e+02	1.9563004e+18	4.0762204e-02
1.7900923e+06	1.5091625e+02	1.9368349e+18	4.0356613e-02
1.7944121e+06	1.5091625e+02	1.9175631e+18	3.9955058e-02
1.7987319e+06	1.5091625e+02	1.8984830e+18	3.9557499e-02
1.8030517e+06	1.5091625e+02	1.8795928e+18	3.9163895e-02
1.8073715e+06	1.5091625e+02	1.8608905e+18	3.8774208e-02
1.8116914e+06	1.5091625e+02	1.8423744e+18	3.8388398e-02
1.8160112e+06	1.5091625e+02	1.8240424e+18	3.8006427e-02
1.8203310e+06	1.5091625e+02	1.8058929e+18	3.7628257e-02
1.8246508e+06	1.5091625e+02	1.7879240e+18	3.7253849e-02
1.8289706e+06	1.5091625e+02	1.7701338e+18	3.6883167e-02
1.8332904e+06	1.5091625e+02	1.7525207e+18	3.6516174e-02
1.8376103e+06	1.5091625e+02	1.7350828e+18	3.6152832e-02
1.8419301e+06	1.5091625e+02	1.7178185e+18	3.5793105e-02
1.8462499e+06	1.5091625e+02	1.7007259e+18	3.5436958e-02
1.8505697e+06	1.5091625e+02	1.6838034e+18	3.5084354e-02
1.8548895e+06	1.5091625e+02	1.6670493e+18	3.4735259e-02
1.8592093e+06	1.5091625e+02	1.6504618e+18	3.4389637e-02
1.8635292e+06	1.5091625e+02	1.6340395e+18	3.4047455e-02
1.8678490e+06	1.5091625e+02	1.6177805e+18	3.3708677e-02
1.8721688e+06	1.5091625e+02	1.6016833e+18	3.3373270e-02
1.8764886e+06	1.5091625e+02	1.5857463e+18	3.3041200e-02
1.8808084e+06	1.5091625e+02	1.5699679e+18	3.2712435e-02
1.8851282e+06	1.5091625e+02	1.5543464e+18	3.2386941e-02
1.8894481e+06	1.5091625e+02	1.5388804e+18	3.2064685e-02
1.8937679e+06	1.5091625e+02	1.5235683e+18	3.1745636e-02
1.8980877e+06	1.5091625e+02	1.5084085e+18	3.1429762e-02
1.9024075e+06	1.5091625e+02	1.4933996e+18	3.1117031e-02
1.9067273e+06	1.5091625e+02	1.4785401e+18	3.0807411e-02
1.9110471e+06	1.5091625e+02	1.4638283e+18	3.0500872e-02
1.9153670e+06	1.5091625e+02	1.4492630e+18	3.0197383e-02
1.9196868e+06	1.5091625e+02	1.4348426e+18	2.9896914e-02
1.9240066e+06	1.5091625e+02	1.4205657e+18	2.9599435e-02
1.9283264e+06	1.5091625e+02	1.4064308e+18	2.9304916e-02
1.9326462e+06	1.5091625e+02	1.3924366e+18	2.9013327e-02
1.9369660e+06	1.5091625e+02	1.3785816e+18	2.8724640e-02
1.9412859e+06	1.5091625e+02	1.3648645e+18	2.8438825e-02
1.9456057e+06	1.5091625e+02	1.3512839e+18	2.8155854e-02
1.9499255e+06	1.5091625e+02	1.3378384e+18	2.7875698e-02
1.9542453e+06	1.5091625e+02	1.3245266e+18	2.7598330e-02
1.9585651e+06	1.5091625e+02	1.3113474e+18	2.7323722e-02
1.9628849e+06	1.5091625e+02	1.2982993e+18	2.7051847e-02
1.9672048e+06	1.5091625e+02	1.2853810e+18	2.6782677e-02
1.9715246e+06	1.5091625e+02	1.2725912e+18	2.6516184e-02
1.9758444e+06	1.5091625e+02	1.2599287e+18	2.6252344e-02
1.9801642e+06	1.5091625e+02	1.2473922e+18	2.5991129e-02
1.9844840e+06	1.5091625e+02	1.2349805e+18	2.5732513e-02
1.9888039e+06	1.5091625e+02	1.2226922e+18	2.5476470e-02
1.9931237e+06	1.5091625e+02	1.2105262e+18	2.5222975e-02
1.9974435e+06	1.5091625e+02	1.1984813e+18	2.4972002e-02
2.0017633e+06	1.5091625e+02	1.1865562e+18	2.4723527e-02
2.0060831e+06	1.5091625e+02	1.1747498e+18	2.4477523e-02
2.0104029e+06	1.5091625e+02	1.1630608e+18	2.4233968e-02
2.0147228e+06	1.5091625e+02	1.1514881e+18	2.3992836e-02
2.0190426e+06	1.5091625e+02	1.1400307e+18	2.3754103e-02
2.0233624e+06	1.5091625e+02	1.1286872e+18	2.3517746e-02
2.0276822e+06	1.5091625e+02	1.1174565e+18	2.3283740e-02
2.0320020e+06	1.5091625e+02	1.1063377e+18	2.3052063e-02
2.0363218e+06	1.5091625e+02	1.0953294e+18	2.2822691e-02
2.0406417e+06	1.5091625e+02	1.0844307e+18	2.2595602e-02
2.0449615e+06	1.5091625e+02	1.0736404e+18	2.2370772e-02
